0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0000
0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0001
0111 1111 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0010
0111 1111 1111 1111	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0011
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0100
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0101
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0110
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0111
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 1000
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 1001
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 1010
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 1011
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 1100
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 1101
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 1110
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 1111
0111 1111 1111 1111	0000 0000 0000 0000	0111 1111 1111 1101	1000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0001 0000
