0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0000
0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0001
0101 0011 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0010
0101 0011 0000 0000	0000 0000 0000 0100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0011
0101 0011 0100 0101	0000 0000 0000 0100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0100
0101 0011 0100 0101	0000 0000 0000 0100	0000 0101 0011 0100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0101
1000 0011 0000 0000	0000 0000 0000 0100	0000 0101 0011 0100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0110
1000 0011 0000 0000	0000 0000 0000 0100	0000 0101 0011 0100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 0111
1000 0011 0100 0101	0000 0000 0000 0100	0000 0101 0011 0100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 1000
1000 0011 0100 0101	0000 0000 0000 0100	1111 1000 0011 0100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 1001
1000 0011 0100 0101	0000 0000 0000 0100	1111 1000 0011 0100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0	0000 0000 0000 1010
